Artist,Song_Age,Decade,Number_of_Records,Spotify_Url,Theme,Title,Year
Dolly Parton,46,1970,1,http://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn,Heartbreak,Jolene,1973
Ann Peebles,43,1970,1,,Heartbreak,It Was Jealousy,1976
Salt-n-Pepa,29,1990,1,,Sex,Let’s Talk About Sex,1990
Katy Perry,12,2000,1,http://open.spotify.com/track/5monag19nA467DCEUmE7Lq,Heartbreak,Ur So Gay,2007
Liz Phair,26,1990,1,,Heartbreak,Divorce Song,1993
The Police,41,1970,1,http://open.spotify.com/track/1VKbWRpwV2XXSJSZ2w534h,Heartbreak,Can’t Stand Losing You,1978
The Police,36,1980,1,http://open.spotify.com/track/0A4Btqar6Y5B4hfs9pZnSE,Heartbreak,Every Breath You Take,1983
Elvis Presley,47,1970,1,http://open.spotify.com/track/7mm18MJI4UpSS2IfsId0qB,Heartbreak,Always on My Mind,1972
Elvis Presley,50,1960,1,http://open.spotify.com/track/21uqk0VElbm5bxCNTR3E6M,Heartbreak,Suspicious Minds,1969
Dory Previn,49,1970,1,http://open.spotify.com/track/6G73YaSHMs0tP2gCNvSnjE,Heartbreak,Beware of Young Girls,1970
Prince,35,1980,1,http://open.spotify.com/track/5OLaGD9QaSn2pRmBr6hYqb,Heartbreak,When Doves Cry,1984
Mohammed Rafi,54,1960,1,http://open.spotify.com/track/6o1fs0vkkFGT8lSkMAXe1o,Heartbreak,Jaan Pehechaan Ho,1965
Lou Reed,46,1970,1,,Heartbreak,Sad Song,1973
REM,27,1990,1,http://open.spotify.com/track/28AZM08WStiEXfqN065BvN,Heartbreak,Everybody Hurts,1992
REM,32,1980,1,http://open.spotify.com/track/3k5BXtsudQFynAlzYIzCgF,Heartbreak,The One I Love,1987
The Righteous Brothers,55,1960,1,http://open.spotify.com/track/4Y7jrcaXsSFyf5g4YLcAaB,Heartbreak,You’ve Lost That Lovin’ Feelin’,1964
The Rolling Stones,53,1960,1,http://open.spotify.com/track/1jlF5p7TTVhT1pvk1jdxZz,Heartbreak,Stupid Girl,1966
The Rolling Stones,53,1960,1,http://open.spotify.com/track/4H5hI3u6LmIRlXnWR89opX,Heartbreak,Under My Thumb,1966
The Ronettes,55,1960,1,,Heartbreak,(The Best Part of) Breakin’ Up,1964
Jimmy Ruffin,53,1960,1,http://open.spotify.com/track/019nGMMof2yYp0zIdnbxSV,Heartbreak,What Becomes of the Broken Hearted,1966
Arthur Russell,25,1990,1,,Heartbreak,A Little Lost,1994
Carly Simon,42,1970,1,http://open.spotify.com/track/240vi0Gt8ZOdPwC1PbzfUJ,Heartbreak,Nobody Does it Better,1977
Carly Simon,47,1970,1,http://open.spotify.com/track/46aRTYYXkN8ok6fnv9ljvr,Heartbreak,You’re So Vain,1972
Paul Simon,44,1970,1,http://open.spotify.com/track/2VrS8weZmIHO4LtRQibMvJ,Heartbreak,50 Ways to Leave Your Lover,1975
Frank Sinatra,61,1950,1,http://open.spotify.com/track/3il33mhbtAFCpdBNvNyymr,Heartbreak,Only the Lonely,1958
The Small Faces,53,1960,1,http://open.spotify.com/track/3NkE5aI8aPPnoG8w2xBwNF,Heartbreak,All Or Nothing,1966
The Smiths,33,1980,1,,Heartbreak,I Know It’s Over,1986
The Smiths,35,1980,1,,Heartbreak,"Please, Please, Please Let Me Get What I Want",1984
Smog,21,1990,1,,Heartbreak,Left Only With Love,1998
Spiritualized,22,1990,1,,Heartbreak,Broken Heart,1997
Dusty Springfield,55,1960,1,http://open.spotify.com/track/4qrEIcw64kbDgSK5QRkkAC,Heartbreak,I Just Don’t Know What to Do With Myself,1964
Dusty Springfield,53,1960,1,http://open.spotify.com/track/2djMjbwwD6aeN029drEul0,Heartbreak,You Don’t Have to Say You Love Me,1966
Rod Stewart,48,1970,1,http://open.spotify.com/track/5bnmFqpNi0JsOUQgQaGtzC,Heartbreak,Maggie May,1971
The Streets,15,2000,1,http://open.spotify.com/track/1DlCpos9Lj8pK6cYMRjipp,Heartbreak,Dry Your Eyes,2004
The Strokes,18,2000,1,http://open.spotify.com/track/7kzKAuUzOITUauHAhoMoxA,Heartbreak,Last Nite,2001
The Supremes,55,1960,1,http://open.spotify.com/track/6yz8hKpO3s2byra8Et3w9x,Heartbreak,Where Did Our Love Go?,1964
The Supremes,53,1960,1,http://open.spotify.com/track/6tLPgXlqugmn2XfNnmGoVp,Heartbreak,You Keep Me Hangin’ On,1966
Bettye Swann,51,1960,1,http://open.spotify.com/track/6AS7rbXQIE2cSCtNXg3RPm,Heartbreak,(My Heart Is) Closed for the Season,1968
Take That,24,1990,1,http://open.spotify.com/track/1cnoj3gWltCrWBZ77jZtmj,Heartbreak,Back for Good,1995
TLC,20,1990,1,http://open.spotify.com/track/5iJUGd5boRXsCmW00B3Mtq,Heartbreak,No Scrubs,1999
U2,32,1980,1,http://open.spotify.com/track/2JZfTvWWtpaE8NohqRXqFr,Heartbreak,With Or Without You,1987
Luther Vandross,33,1980,1,http://open.spotify.com/track/54yoy5MG6SVPB5wdneXAW7,Heartbreak,Give Me the Reason,1986
The Velvet Underground and Nico,52,1960,1,http://open.spotify.com/track/63uM3G418omzGOIT9ltPmt,Heartbreak,Femme Fatale,1967
Tom Waits,39,1980,1,http://open.spotify.com/track/0YUvSNoGzYp67QjLOmzVnW,Heartbreak,Ruby’s Arms,1980
The Walker Brothers,54,1960,1,http://open.spotify.com/track/5RT0MynLRywe8D3UHJ4UNG,Heartbreak,Make it Easy on Yourself,1965
Dionne Warwick,55,1960,1,http://open.spotify.com/track/6xS9VDmREYFio4BNGFImjc,Heartbreak,Walk on By,1964
Kanye West,14,2000,1,http://open.spotify.com/track/5sSxgpqqZEAdwfRYVze4fU,Heartbreak,Gold Digger,2005
Kanye West,11,2000,1,http://open.spotify.com/track/57wUNWELIZOReROLzol83e,Heartbreak,Say You Will,2008
The Who,53,1960,1,http://open.spotify.com/track/6AtYt0gDIi6I38fOfkV31y,Heartbreak,Substitute,1966
Hank Williams,68,1950,1,http://open.spotify.com/track/56KLeNPhvXXyXGQ9TEYDCC,Heartbreak,"Cold, Cold Heart",1951
Robbie Williams,21,1990,1,http://open.spotify.com/track/2h4Lh23FF8OQ8uGBnOdepy,Heartbreak,No Regrets,1998
Amy Winehouse,16,2000,1,http://open.spotify.com/track/5Q8nk53ZSOoCCoMHcyUj8X,Heartbreak,Stronger Than Me,2003
Amy Winehouse,13,2000,1,http://open.spotify.com/track/0u8ekDfiPVBsju2LBLvDvI,Heartbreak,You Know I’m No Good,2006
Bill Withers,48,1970,1,http://open.spotify.com/track/7u9s9Kn0J9U69J0qQV3E5M,Heartbreak,Ain’t No Sunshine,1971
Bill Withers,47,1970,1,http://open.spotify.com/track/7bIC3bWre8rInwCizxLMPQ,Heartbreak,Use Me,1972
Tammy Wynette,51,1960,1,,Heartbreak,D-I-V-O-R-C-E,1968
Neil Young,47,1970,1,http://open.spotify.com/track/09EdAJXci83YhVYUaZtLOw,Heartbreak,A Man Needs a Maid,1972
Ryan Adams,18,2000,1,http://open.spotify.com/track/6n0uVCp7GKgS0N7yCiIjYG,People and places,"New York, New York",2001
Aliotta Haynes Jeremiah,48,1970,1,,People and places,Lake Shore Drive,1971
Bob Andy,53,1960,1,,People and places,I’ve Got to Go Back Home,1966
The Animals,54,1960,1,http://open.spotify.com/track/385Z5UTDZvJMvhOAiURcHY,People and places,We Gotta Get Out of This Place,1965
Arctic Monkeys,13,2000,1,http://open.spotify.com/track/1sW0hSskhK2o3okrBoNd57,People and places,A Certain Romance,2006
Roy Ayers,36,1980,1,http://open.spotify.com/track/6mWaJR3Wz8XcujkKd48oy6,People and places,Chicago,1983
The Beach Boys,55,1960,1,http://open.spotify.com/track/0kRivH04RZLdKhD5wX1h1D,People and places,"Fun, Fun, Fun",1964
The Beatles,53,1960,1,,People and places,Eleanor Rigby,1966
The Beatles,53,1960,1,,People and places,Doctor Robert,1966
The Beatles,54,1960,1,,People and places,Drive My Car,1965
The Beatles,52,1960,1,,People and places,Penny Lane,1967
The Beatles,52,1960,1,,People and places,She’s Leaving Home,1967
The Beatles,52,1960,1,,People and places,Strawberry Fields Forever,1967
Tony Bennett,57,1960,1,http://open.spotify.com/track/6T4wzk2iyRcdmEQUcqk1s8,People and places,I Left My Heart in San Francisco,1962
Chuck Berry,60,1950,1,http://open.spotify.com/track/289AKX6diQ7eCcvJLb5pC3,People and places,"Memphis, Tennessee",1959
Chuck Berry,55,1960,1,http://open.spotify.com/track/0ibuBDbT4tKNA1ugKK92AI,People and places,No Particular Place to Go,1964
Chuck Berry,61,1950,1,http://open.spotify.com/track/78gvEiVlnMd1f5adOHjJxP,People and places,Johnny B Goode,1958
Mike Berry and the Outlaws,58,1960,1,,People and places,Tribute to Buddy Holly,1961
"William Blake, Charles Hubert and Hastings Parry",103,1910,1,,People and places,Jerusalem,1916
Bobby Bland,45,1970,1,,People and places,Ain’t No Love in the Heart of the City,1974
Archie Bleyer,65,1950,1,http://open.spotify.com/track/5l14z1uDc6xwMohyYuhOfM,People and places,Hernando’s Hideaway,1954
Blur,26,1990,1,http://open.spotify.com/track/6j8paOITkZ5Ybrg5osqeVk,People and places,For Tomorrow,1993
David Bowie,48,1970,1,http://open.spotify.com/track/1EdKQ7nYYmMEsrcehcHf4Q,People and places,Life On Mars?,1971
David Bowie,50,1960,1,http://open.spotify.com/track/7IBfmCrfaR3SLVemWhsucQ,People and places,Space Oddity,1969
Jan Bradley,51,1960,1,,People and places,Nights in New York City,1968
Billy Bragg,33,1980,1,,People and places,Levi Stubbs’ Tears,1986
Jackie Brenston and His Delta Cats,68,1950,1,http://open.spotify.com/track/2D4CW43Ewl0UZvrn9E2bo3,People and places,Rocket 88,1951
Anne Briggs,48,1970,1,,People and places,Blackwater Side,1971
Bronski Beat,35,1980,1,http://open.spotify.com/track/1nz1xzqPN4xYZtR4zgiLxt,People and places,Smalltown Boy,1984
The Byrds,53,1960,1,http://open.spotify.com/track/3M2vp32P9xXHsVRcva9G5c,People and places,Eight Miles High,1966
Glen Campbell,50,1960,1,http://open.spotify.com/track/7GCNh1ibQiae8aimaEUOFq,People and places,Galveston,1969
Cab Calloway,88,1930,1,http://open.spotify.com/track/1Ns0szGnyIV7BLkWsrkdVu,People and places,Minnie the Moocher,1931
The Cars,35,1980,1,http://open.spotify.com/track/2KjYhaRlB5NtCJ0JotvJhZ,People and places,Drive,1984
Martin Carthy,54,1960,1,,People and places,Scarborough Fair,1965
Johnny Cash,13,2000,1,http://open.spotify.com/track/52HE6vtu3RydAcSDK3YuuN,People and places,I’m Free From the Chain Gang Now,2006
Johnny Cash,64,1950,1,http://open.spotify.com/track/7BuR7aWjwtMnejLYeh8FZk,People and places,Folsom Prison Blues,1955
Manu Chao,21,1990,1,,People and places,King of Bongo,1998
Ray Charles,59,1960,1,http://open.spotify.com/track/5pnvs9jplQQE7uxdyHhTta,People and places,Georgia on My Mind,1960
Ray Charles,63,1950,1,http://open.spotify.com/track/43mBBdRU6GfinobxcDyufp,People and places,Lonely Avenue,1956
Guy Clark,44,1970,1,http://open.spotify.com/track/0FIn08OKKHVRSFJfm6QBmS,People and places,LA Freeway,1975
The Clash,40,1970,1,http://open.spotify.com/track/6UxHw23oizTlIyolc4Alaz,People and places,London Calling,1979
Jimmy Cliff,50,1960,1,http://open.spotify.com/track/1dr5J5vp2lomzdDPcv4CvG,People and places,Many Rivers to Cross,1969
The Coasters,65,1950,1,http://open.spotify.com/track/5Hl3bPQuASTEb4t3GxhlkI,People and places,Riot in Cell Block #9,1954
Leonard Cohen,45,1970,1,http://open.spotify.com/track/48WhdGNxaxHMdRxs11ampi,People and places,Chelsea Hotel #2,1974
Leonard Cohen,31,1980,1,http://open.spotify.com/track/6C7z72JkQtC08oKYLsz791,People and places,First We Take Manhattan,1988
Shirley Collins,52,1960,1,,People and places,The Banks of the Sweet Primroses,1967
Ry Cooder,47,1970,1,,People and places,Taxes on the Farmer Feeds Us All,1972
Sam Cooke,59,1960,1,http://open.spotify.com/track/2v3StB7FS2bUZNSWWInRN7,People and places,Chain Gang,1960
Bing Crosby,87,1930,1,http://open.spotify.com/track/2Ei1sEtJU0ENRvk3sKZx0X,People and places,Brother Can You Spare a Dime?,1932
Bobby Darin,60,1950,1,http://open.spotify.com/track/1xeEkk0av46GZ4Ztq1dUEM,People and places,Beyond the Sea,1959
Bobby Darin,60,1950,1,http://open.spotify.com/track/35hKX7JI7gvQ0oKna8895l,People and places,Mack the Knife,1959
Desmond Dekker,52,1960,1,http://open.spotify.com/track/7hwvbkchjTc5JXEZ4xmQX7,People and places,007 (Shanty Town),1967
Dexys Midnight Runners,39,1980,1,http://open.spotify.com/track/7gb626DDDHoiuVAGZEnlJk,People and places,Geno,1980
Bo Diddley,59,1960,1,http://open.spotify.com/track/0D98Qv08oIWYoSgVigHy9a,People and places,Roadrunner,1960
Dion,58,1960,1,http://open.spotify.com/track/0tk8p69r1Ed2OuqiXxHdAQ,People and places,The Wanderer,1961
Donovan,54,1960,1,http://open.spotify.com/track/0W0WuexnXG8xdSnTIHKnrQ,People and places,Sunny Goodge Street,1965
Doves,14,2000,1,http://open.spotify.com/track/1RJxjF2aOMi1JLJ9K2PUJj,People and places,Black and White Town,2005
The Drifters,56,1960,1,http://open.spotify.com/track/1rDBmONfSiBaJJGqDH2OH5,People and places,On Broadway,1963
Ian Dury,42,1970,1,,People and places,Billericay Dickie,1977
Bob Dylan,54,1960,1,http://open.spotify.com/track/3Xbr9UqRIgo5I9Wna9sofg,People and places,Ballad of a Thin Man,1965
Bob Dylan,28,1990,1,http://open.spotify.com/track/2HT5jSAGQtNJ6nM8dhvrng,People and places,Blind Willie McTell,1991
Bob Dylan,54,1960,1,http://open.spotify.com/track/4hR2PmKODnlFa5fe8iWzeo,People and places,Like a Rolling Stone,1965
Steve Earle,20,1990,1,,People and places,The Mountain,1999
Elbow,14,2000,1,,People and places,Station Approach,2005
The Fall,38,1980,1,,People and places,Leave the Capitol,1981
The Flying Burrito Brothers,50,1960,1,http://open.spotify.com/track/79eJ1pa0yAAFlloGPizz8W,People and places,Sin City,1969
Peter Gabriel,42,1970,1,,People and places,Solsbury Hill,1977
"The Good, the Bad and the Queen",12,2000,1,,People and places,Green Fields,2007
Judy Garland,80,1930,1,http://open.spotify.com/track/1jNQ6e4Mze7QA3hPWbTv3B,People and places,Over the Rainbow,1939
Woody Guthrie,79,1940,1,http://open.spotify.com/track/2IsUkc97tIzMBQg67y3lVP,People and places,Do Re Mi,1940
Merle Haggard,38,1980,1,http://open.spotify.com/track/2a57riblxsqxe1lV33JDTf,People and places,Big City,1981
Tim Hardin,52,1960,1,http://open.spotify.com/track/7EIObUsjH82rWe34Alrou9,People and places,Tribute to Hank Williams,1967
Emmylou Harris,44,1970,1,http://open.spotify.com/track/3PAnJueYX2pM8Ig0xSnkbI,People and places,Boulder to Birmingham,1975
Richard Hawley,14,2000,1,http://open.spotify.com/track/5kGdayTmguCAZP87F56DUg,People and places,Coles Corner,2005
Heinz,56,1960,1,http://open.spotify.com/track/3anKfvDNqW7dYBDEbmKzIn,People and places,Just Like Eddie,1963
The Jam,41,1970,1,http://open.spotify.com/track/3pmY0mjzWegSxdMPwYZwSj,People and places,Down in the Tube Station at Midnight,1978
Eddie Jefferson,58,1960,1,http://open.spotify.com/track/0PCrDhGtjxU660QHLUHYYc,People and places,So What (Miles),1961
Janis Joplin,48,1970,1,http://open.spotify.com/track/6K81RptJZZaeEkqiV6kpyv,People and places,Me and Bobby McGee,1971
Robert Johnson,83,1930,1,,People and places,Cross Road Blues,1936
Louis Jordan and His Tympany Five,73,1940,1,http://open.spotify.com/track/1bPpdLPZIi24zchWIGkI3H,People and places,Choo Choo Ch’Boogie,1946
Ben E King,58,1960,1,http://open.spotify.com/track/3UCmuRdeTriWgOZMEJsfqZ,People and places,Spanish Harlem,1961
Nat King Cole,73,1940,1,http://open.spotify.com/track/3k0jloXIBRigk9z7TSxr48,People and places,(Get Your Kicks On) Route 66,1946
The Kinks,53,1960,1,http://open.spotify.com/track/2qYhnsUIiu31svhUA5yGZD,People and places,Dead End Street,1966
The Kinks,51,1960,1,,People and places,The Village Green Preservation Society,1968
The Kinks,52,1960,1,http://open.spotify.com/track/2nlvl52hnkBMoWPmWChXM8,People and places,Waterloo Sunset,1967
Lord Kitchener,68,1950,1,,People and places,London is the Place For Me,1951
Kraftwerk,42,1970,1,http://open.spotify.com/track/0E4dDQtMRsh2hil3J9hTMj,People and places,Trans-Europe Express,1977
Lemon Jelly,17,2000,1,http://open.spotify.com/track/6gZy5D9PMscYWMM1VdvZZx,People and places,Ramblin’ Man,2002
The Louvin Brothers,63,1950,1,http://open.spotify.com/track/15GmkMpAv2Q3txQLW2c1nZ,People and places,Kentucky,1956
Lynyrd Skynyrd,45,1970,1,http://open.spotify.com/track/1KZ1hkR3lxhIRW57sPaY07,People and places,Sweet Home Alabama,1974
The Mamas and the Papas,54,1960,1,http://open.spotify.com/track/1pxO7IS622Q8DQJ7uK7JRt,People and places,California Dreamin’,1965
Bob Marley and the Wailers,45,1970,1,http://open.spotify.com/track/2Fl520GM5Pq1yCxSruf3gj,People and places,"No Woman, No Cry",1974
Sam Mayo,97,1920,1,,People and places,Things Are Worse in Russia,1922
Don McLean,48,1970,1,http://open.spotify.com/track/6b2rn4db84W8Ntz66LHi53,People and places,Vincent,1971
Memphis Minnie,78,1940,1,http://open.spotify.com/track/1BrAqEZyBw7t4Qk5LdPq7w,People and places,Me and My Chauffeur Blues,1941
Mississippi John Hurt,91,1920,1,http://open.spotify.com/track/2s4dwHpeGqoXNUXoyXyG1O,People and places,Stack O’ Lee,1928
Marilyn Monroe,66,1950,1,http://open.spotify.com/track/0wxF2Ia8RldcEHSlEope7i,People and places,Diamonds Are a Girl’s Best Friend,1953
Van Morrison,30,1980,1,http://open.spotify.com/track/51uJPonFb6B4bjVXXIb6oR,People and places,Coney Island,1989
Willie Nelson,39,1980,1,http://open.spotify.com/track/3c4gb10sLoDr3OCoLIKRqm,People and places,On the Road Again,1980
Gary Numan,40,1970,1,http://open.spotify.com/track/3CKLPDN1AIOYa7QPpy6oDH,People and places,Cars,1979
Randy Newman,11,2000,1,http://open.spotify.com/track/1IWtqdxdgO1ThXjfjXnsSU,People and places,A Few Words in Defense of Our Country,2008
Randy Newman,42,1970,1,,People and places,Baltimore,1977
Randy Newman,36,1980,1,,People and places,I Love LA,1983
Nilsson,50,1960,1,http://open.spotify.com/track/6gu59Q2p1Zkx2jkMdJYO1X,People and places,I Guess the Lord Must Be in New York City,1969
Roy Orbison,56,1960,1,http://open.spotify.com/track/5GdSlf0Of1E67soyYauE1i,People and places,Blue Bayou,1963
Roy Orbison,63,1950,1,http://open.spotify.com/track/12NYyFxVvXaa8XIZEErs2D,People and places,Domino,1956
Pentangle,51,1960,1,http://open.spotify.com/track/2pqiemaVZ6QjRYH5cPCfax,People and places,Bruton Town,1968
Pet Shop Boys,32,1980,1,,People and places,King’s Cross,1987
Pet Shop Boys,34,1980,1,http://open.spotify.com/track/5Dqik1P9toCJTLj5rEm78s,People and places,West End Girls,1985
Wilson Pickett,53,1960,1,http://open.spotify.com/track/2AbmCE9mLpaVMyQeyvlgHN,People and places,Mustang Sally,1966
Pink Floyd,44,1970,1,,People and places,Shine on You Crazy Diamond,1975
The Pogues,34,1980,1,http://open.spotify.com/track/7IMYW63MR1U33kX7LOecPl,People and places,Dirty Old Town,1985
The Pogues,34,1980,1,http://open.spotify.com/track/6vSHxP7R5Ml9zqyO2JM5v9,People and places,Rainy Night in Soho,1985
Elvis Presley,63,1950,1,http://open.spotify.com/track/4YpAvti84hmMqJwnAYawt5,People and places,Heartbreak Hotel,1956
PJ Proby,55,1960,1,http://open.spotify.com/track/5lz5nAO1HA7nntRU5k0IzH,People and places,Somewhere,1964
Pulp,24,1990,1,http://open.spotify.com/track/3gc4sAYBuZDhbFfnauPqOf,People and places,Common People,1995
Jimmy Reed,58,1960,1,http://open.spotify.com/track/3uNEUuL8U3RqHVyhiuD6DY,People and places,"Bright Lights, Big City",1961
Lou Reed,46,1970,1,,People and places,Berlin,1973
Jonathan Richman and the Modern Lovers,47,1970,1,,People and places,Roadrunner,1972
Jeannie C Riley,51,1960,1,http://open.spotify.com/track/0nAHjZ9TJ6h4Hpy8lxlP6u,People and places,Harper Valley PTA,1968
Jimmie Rodgers,91,1920,1,http://open.spotify.com/track/5pOTmneH4pTmhxaSLtrTM0,People and places,T for Texas,1928
The Rolling Stones,48,1970,1,http://open.spotify.com/track/19syRYigiBrdGj5HUqBjzx,People and places,Moonlight Mile,1971
The Rolling Stones,52,1960,1,http://open.spotify.com/track/5dv34fSvGLhCaPNjiytAva,People and places,Ruby Tuesday,1967
Mitch Ryder and the Detroit Wheels,54,1960,1,http://open.spotify.com/track/5mgDZhN7E1nau6ZH2ENmUH,People and places,Jenny Take a Ride,1965
Bim Sherman,41,1970,1,,People and places,Chancery Lane,1978
Paul Simon,33,1980,1,http://open.spotify.com/track/0aeaKHM4KCULhqKk4QZzjT,People and places,Graceland,1986
Paul Simon,36,1980,1,http://open.spotify.com/track/5ach2WWI5RD1FOjDArNlRh,People and places,The Late Great Johnny Ace,1983
Simon and Garfunkel,53,1960,1,http://open.spotify.com/track/0MhdnZTAPZmdEWa3alX8eM,People and places,Homeward Bound,1966
Simon and Garfunkel,51,1960,1,http://open.spotify.com/track/6J1sj9dcEM91H80NIz1Gpo,People and places,Mrs Robinson,1968
Frank Sinatra,39,1980,1,http://open.spotify.com/track/4tMPwjAb9FYZ2HHgXj24LU,People and places,"New York, New York",1980
Nancy Sinatra and Lee Hazlewood,52,1960,1,http://open.spotify.com/track/56LjYK1rKum8m1L7aIdfm4,People and places,Jackson,1967
Bruce Springsteen,44,1970,1,http://open.spotify.com/track/3JlWTo11ustqpPS1V7Jivs,People and places,Born to Run,1975
Squeeze,40,1970,1,http://open.spotify.com/track/1zWLu0Glg7glW6ulCfDbeN,People and places,Up the Junction,1979
The Stanley Brothers,69,1950,1,http://open.spotify.com/track/1AkjPhgexQuQkeJpB3sS5E,People and places,Rank Stranger,1950
Steppenwolf,51,1960,1,http://open.spotify.com/track/78OcvMkLFsRp5AJsRexfPX,People and places,Born to Be Wild,1968
Thin Lizzy,43,1970,1,http://open.spotify.com/track/3w7SMX2L4Tx6GAR8cr5H5L,People and places,The Boys Are Back in Town,1976
Toots and the Maytals,51,1960,1,http://open.spotify.com/track/0KVxbnJ6OfDj6P47KogYo7,People and places,54-46 (That’s My Number),1968
Townes Van Zandt,32,1980,1,,People and places,Snowin’ on Raton,1987
The Undertones,39,1980,1,http://open.spotify.com/track/2YGzQWJGukgL3eXslK1okj,People and places,My Perfect Cousin,1980
Tom Waits,36,1980,1,,People and places,In the Neighbourhood,1983
Tom Waits,36,1980,1,http://open.spotify.com/track/1Opgvak0Qc2kyLVLFbuu1V,People and places,"Johnsburg, Illinois",1983
Dionne Warwick,51,1960,1,http://open.spotify.com/track/3lVRhqxAiipuI4kPz4TF5W,People and places,Do You Know the Way to San José,1968
Paul Weller,26,1990,1,http://open.spotify.com/track/6YV6egaDLNWSxHenzsWE1y,People and places,Wild Wood,1993
Stevie Wonder,46,1970,1,http://open.spotify.com/track/1XtEFMgU5u5yHa5N4GxIbA,People and places,Living for the City,1973
Stevie Wonder,39,1980,1,http://open.spotify.com/track/3Q5K3AUwRshY9TSXxRk3IW,People and places,Master Blaster (Jammin),1980
Aaliyah,19,2000,1,http://open.spotify.com/track/2CM7CAL7aJ5WkPU0oGbA96,Sex,Try Again,2000
Abba,40,1970,1,http://open.spotify.com/track/2TjNlK2tNBxF8C8RIaK9Gb,Sex,Gimme! Gimme! Gimme! (A Man After Midnight),1979
AC/DC,39,1980,1,,Sex,You Shook Me All Night Long,1980
Aerosmith,30,1980,1,http://open.spotify.com/track/1SDr4rc6YRpaLDkJURW3sY,Sex,Love in an Elevator,1989
Lily Allen,13,2000,1,http://open.spotify.com/track/1elLIGWtTXFm5NSRHDa4w1,Sex,Smile,2006
Arctic Monkeys,13,2000,1,http://open.spotify.com/track/2iuIqCjjPKg3DYwHHAo0kJ,Sex,When The Sun Goes Down,2006
Au Pairs,38,1980,1,,Sex,Come Again,1981
The Beatles,54,1960,1,,Sex,Another Girl,1965
The Beatles,54,1960,1,,Sex,Norwegian Wood (This  Bird Has Flown),1965
Chuck Berry,47,1970,1,http://open.spotify.com/track/2x54atSzwJO7zngKHdePjb,Sex,My Ding-a-Ling,1972
Big Star,41,1970,1,,Sex,Kangaroo,1978
Jane Birkin and Serge Gainsbourg,50,1960,1,,Sex,Je T’Aime ... Moi Non Plus,1969
Blur,25,1990,1,http://open.spotify.com/track/3Y23PZn79fu2uaefLBCJyz,Sex,Girls and Boys,1994
Bonzo Dog Doo-Dah Band,50,1960,1,http://open.spotify.com/track/1Iv81TnJcanYzk4uyewcNi,Sex,Tent,1969
Boys Town Gang,38,1980,1,,Sex,Cruisin’ the Streets,1981
James Brown,49,1970,1,http://open.spotify.com/track/5uCdgBAqYPWQ2HGpJVGAeD,Sex,Get Up (I Feel Like Being a) Sex Machine,1970
Tim Buckley,47,1970,1,http://open.spotify.com/track/2OqesAvEfzM5KvBHhRlz5l,Sex,Get On Top,1972
Buzzcocks,42,1970,1,http://open.spotify.com/track/4iUvyJkurdF6iDzdY4Z4al,Sex,Orgasm Addict,1977
The Byrds,51,1960,1,http://open.spotify.com/track/3Vcbq1XGXbvwXT9wC4XJjj,Sex,Triad,1968
Elvis Costello and the Attractions,39,1980,1,http://open.spotify.com/track/0FKPuEwGl4zunq0HKcoxQ5,Sex,High Fidelity,1980
Elvis Costello and the Attractions,33,1980,1,http://open.spotify.com/track/4LBnvKaSC9RqnFYA0LDIGt,Sex,I Want You,1986
CSS,13,2000,1,http://open.spotify.com/track/4Cz17oLEdM9MY5BYtd0S2N,Sex,Let’s Make Love and Listen to Death from Above,2006
D’Angelo,24,1990,1,http://open.spotify.com/track/3tyUh8UpK0PVu00AjbP1UG,Sex,Brown Sugar,1995
Destiny’s Child,20,1990,1,http://open.spotify.com/track/2gSyc23Hua25fqSFpgAh6W,Sex,Say My Name,1999
Dexys Midnight Runners,37,1980,1,http://open.spotify.com/track/7L1h8TN56ynoes6aZ4kNs2,Sex,Come On Eileen,1982
Divinyls,28,1990,1,http://open.spotify.com/track/6oNvmplQGUkmAh441Teows,Sex,I Touch Myself,1991
Ian Dury and the Blockheads,42,1970,1,,Sex,Wake Up and Make Love With Me,1977
Bob Dylan,53,1960,1,http://open.spotify.com/track/6hMr51jPiGsyI16VfO8wmO,Sex,I Want You,1966
Bob Dylan,50,1960,1,http://open.spotify.com/track/6wo0JCftDQbbo9nsGKLzk2,Sex,Lay Lady Lay,1969
The Eagles,44,1970,1,,Sex,Lyin’ Eyes,1975
Elastica,26,1990,1,http://open.spotify.com/track/6R8t6SQX1692z5S112XMkJ,Sex,Stutter,1993
Elastica,24,1990,1,http://open.spotify.com/track/3CFreeQN3KprsAO9Io0MpP,Sex,Vaseline,1995
Eurythmics,36,1980,1,http://open.spotify.com/track/0qO7FkKWdHPc1Si1Z2nLZm,Sex,Who’s That Girl?,1983
The Faces,48,1970,1,http://open.spotify.com/track/6qpWQy2fQy7X0jJTg7UoiO,Sex,Stay With Me,1971
The Flirts,37,1980,1,,Sex,Passion,1982
Frankie Goes to Hollywood,36,1980,1,,Sex,Relax,1983
Peter Gabriel,33,1980,1,,Sex,Sledgehammer,1986
Marvin Gaye,46,1970,1,http://open.spotify.com/track/5qAV9Xmezj2Fb2cUkZCKqS,Sex,Let’s Get It On,1973
Marvin Gaye,37,1980,1,http://open.spotify.com/track/6PctvwtmRSIwmTc4HtBzJT,Sex,Sexual Healing,1982
