Artist,Song Age,Decade,Number of Records,Spotify Url,Theme,Title,Year
Roberta Flack,46,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/60SJRvzXJnVeVfS4RiH14u,Love,Killing Me Softly With His Song,1/1/1973
Aretha Franklin,52,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/0FE39WU0AcIcXdkMK0fxkr,Love,I Never Loved a Man (The Way I Love You),1/1/1967
Aretha Franklin,51,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/6bBwFPgVdWxuc4uWEyALCa,Love,I Say A Little Prayer,1/1/1968
Frankie Goes to Hollywood,35,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/2CUoxqW5bw2WOZPExmFvk1,Love,The Power of Love,1/1/1984
Patsy Gallant,41,1/1/1970 12:00:00 AM,1,,Love,It’ll All Come Around,1/1/1978
Judy Garland,80,1/1/1930 12:00:00 AM,1,http://open.spotify.com/track/2vIuGZHuGRqcydnsVFC7Vp,Love,Zing! Went the Strings of My Heart,1/1/1939
Marvin Gaye And Tammi Terrell,52,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/77g8V7P1MkfiPXe8Rkxm7y,Love,Ain’t No Mountain High Enough,1/1/1967
Marvin Gaye And Tammi Terrell,51,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/6L7r59rN9s4mBSxZDiElTp,Love,You’re All I Need to Get By,1/1/1968
Steve Goodman,46,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/7gSXNrDpUr5mMDThxS6Y6i,Love,The Dutchman,1/1/1973
Al Green,45,1/1/1970 12:00:00 AM,1,,Love,Let’s Get Married,1/1/1974
Al Green,48,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/1r5ix6rRcET3TUdnDSZ9Oo,Love,Let’s Stay Together,1/1/1971
Al Green,47,1/1/1970 12:00:00 AM,1,,Love,Love and Happiness,1/1/1972
Guns N’ Roses,32,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/5HzLcjDzlykkKC0rw2R6WJ,Love,Sweet Child O’ Mine,1/1/1987
Herman’s Hermits,55,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/5tYLgBIbx3YVde84rRPNE9,Love,I’m Into Something Good,1/1/1964
Whitney Houston,34,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/0xd9xioBzvbJ0KsqFUE1ob,Love,How Will I Know,1/1/1985
Leroy Hutson,46,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/7yLQMOBHYEkFkFQcEoNEpR,Love,I’m So in Love,1/1/1973
The Impressions,55,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/6mLycrS3LfCUERnOWm8luW,Love,I’m So Proud,1/1/1964
Gregory Isaacs,37,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/2lPfcRMRLffiBTwLA9S8Vc,Love,Night Nurse,1/1/1982
The Isley Brothers,46,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/5tECQN3UPXULg4nzgkXM9r,Love,Summer Breeze,1/1/1973
Elton John,40,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/6TNHLD7QyX5KxdYmNwwDA6,Love,Are You Ready For Love,1/1/1979
Grace Jones,42,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/50SLOKltoko04YawlAjDeH,Love,La Vie En Rose,1/1/1977
Alicia Keys,12,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/1exNQxJp0tHfKe85qUpRJF,Love,No One,1/1/2007
Ben E King,58,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/2FVHVmsUOyNnhlwtFLjoMF,Love,Stand By Me,1/1/1961
The Kinks,55,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/0yjEOL4g41q4rAqoguFF0s,Love,You Really Got Me,1/1/1964
KD Lang,27,1/1/1990 12:00:00 AM,1,http://open.spotify.com/track/77NdXr1ANwNkMEtgBNS2ZD,Love,Constant Craving,1/1/1992
Bob Lind,53,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/226EXK5tPVsqaZ2y9RACR0,Love,Elusive Butterfly,1/1/1966
Bob Marley,41,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/6wwxa6n8kSf3Bd0apxe0iy,Love,Is This Love?,1/1/1978
Paul McCartney and Wings,46,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/5SL1Vx2h1ULwp1EKYKp1UN,Love,My Love,1/1/1973
Gwen McRae,45,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/4dz8fFVtr8dPMqGThk5Cbs,Love,90% of Me is You,1/1/1974
Merrilee and the Turnabouts,51,1/1/1960 12:00:00 AM,1,,Love,Angel of the Morning,1/1/1968
Kylie Minogue,18,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/2HpWHLtZldOcDn5qzX8kb2,Love,Can’t Get You Out of My Head,1/1/2001
Joni Mitchell,45,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/4gvV5Ib89fiwMtQ4biQQjd,Love,Help Me,1/1/1974
Van Morrison,51,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/0XGw1JFG1kE6rFi4rtvs7w,Love,Madame George,1/1/1968
Randy Newman,24,1/1/1990 12:00:00 AM,1,http://open.spotify.com/track/2O8YJmOg9lOgn5JNHF9Qi9,Love,You’ve Got a Friend,1/1/1995
Roy Orbison,55,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/2DGXmZPZ07HnWkFj3AayR0,Love,"Oh, Pretty Woman",1/1/1964
Donny Osmond,47,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/3ABtW1kSCzKlJGGDYFH7GV,Love,Puppy Love,1/1/1972
Gram Parsons,46,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/0ik33iwk2do6Rf9rQs7e8X,Love,She,1/1/1973
Dolly Parton,45,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/1n3q9eF2qqOaWHBBQHLRXw,Love,I Will Always Love You,1/1/1974
Wilson Pickett,52,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/4QDK12L3s53JECMOhx3mdh,Love,I’m in Love,1/1/1967
The Pop Group,40,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/2A99HGtYXdCZKYrvPqzA6v,Love,She is Beyond Good and Evil,1/1/1979
Cole Porter,91,1/1/1920 12:00:00 AM,1,,Love,"Let’s Do It, Let’s Fall in Love",1/1/1928
Elvis Presley,58,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/3Aw5RpV5q1zn66ck2jOQjs,Love,Can’t Help Falling in Love,1/1/1961
Elvis Presley,63,1/1/1950 12:00:00 AM,1,http://open.spotify.com/track/65An7RQuVbAipQIYhJu0YJ,Love,Love Me Tender,1/1/1956
The Pretenders,25,1/1/1990 12:00:00 AM,1,http://open.spotify.com/track/2bFG1ywgBAyZbJGMApTPfJ,Love,I’ll Stand By You,1/1/1994
Louis Prima and Keely Smith,60,1/1/1950 12:00:00 AM,1,http://open.spotify.com/track/0e7LFGPufvU4ITix9vNSuc,Love,That Old Black Magic,1/1/1959
The Proclaimers,25,1/1/1990 12:00:00 AM,1,http://open.spotify.com/track/3P7bVGMkeVSJBOqQXPNJit,Love,Let’s Get Married,1/1/1994
Queen,44,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/0WMmdTiZrDkObaABU7mylW,Love,You’re My Best Friend,1/1/1975
A R Rahman,24,1/1/1990 12:00:00 AM,1,,Love,Kehma Hi Kya,1/1/1995
The Righteous Brothers,54,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/2ACjOtICHXrAlP3ijVMSvb,Love,Unchained Melody,1/1/1965
Rihanna,12,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/0dOAByk7pJESaNScxIr5wI,Love,Umbrella,1/1/2007
Smokey Robinson and the Miracles,57,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/7oLlI6vGHjjFfLkq0fq89A,Love,You’ve Really Got a Hold On Me,1/1/1962
The Ronettes,56,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/0eXzLs2mOlkZXeftGN0SNH,Love,Be My Baby,1/1/1963
Mark Ronson featuring Amy Winehouse,12,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/6wrRgHFLe5RgQLBVbnqCCe,Love,Valerie,1/1/2007
Todd Rundgren,47,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/2QNMAvCnpIN6P43f8HPKp1,Love,I Saw the Light,1/1/1972
The Shangri-Las,55,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/7rwBWEQ6APQBQ5sFDOytDb,Love,Leader of the Pack,1/1/1964
The Shirelles,58,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/5SqfqdRQBq3JttB5Nh08H2,Love,Will You Love Me Tomorrow?,1/1/1961
Simon and Garfunkel,49,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/1eAVDtuGhk1lVVjMbmFvsi,Love,Bridge Over Troubled Water,1/1/1970
Frank Sinatra,53,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/09ityNOMUHKZ1sldYGWRCk,Love,Fly Me to the Moon,1/1/1966
Frank Sinatra,53,1/1/1960 12:00:00 AM,1,,Love,Get Me to the Church On Time,1/1/1966
Frank Sinatra,64,1/1/1950 12:00:00 AM,1,http://open.spotify.com/track/16y88kDkX8kgzFHMnXr33D,Love,Love and Marriage,1/1/1955
Percy Sledge,50,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/38r31rrb3wYnNPa3TCn4Mn,Love,True Love Travels on a Gravel Road,1/1/1969
Labi Siffre,48,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/2kLNtPuucbm4kPhzWpuOOM,Love,It Must Be Love,1/1/1971
Patti Smith,40,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/7AXFxcR4QfoTPaWinYCFB3,Love,Frederick,1/1/1979
The Smiths,33,1/1/1980 12:00:00 AM,1,,Love,There is a Light That Never Goes Out,1/1/1986
Sonny and Cher,54,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/4TbuzNasQqnKJc3bJdZ0wZ,Love,I Got You Babe,1/1/1965
Soul Brothers Six,46,1/1/1970 12:00:00 AM,1,,Love,You Gotta Come a Little Closer,1/1/1973
The Spice Girls,23,1/1/1990 12:00:00 AM,1,http://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT,Love,Wannabe,1/1/1996
The Spinners,47,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/2vLaES21zwbX1Rnmj56Bbb,Love,I’ll Be Around,1/1/1972
Rod Stewart,48,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/2YIJ6PXSWgwo25sE9eIzuU,Love,Mandolin Wind,1/1/1971
The Stone Roses,30,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/5b6sFRZWMfcunej0zWE28r,Love,She Bangs the Drums,1/1/1989
Donna Summer,42,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/6efRrfjV1YW1rtecLUHoP1,Love,I Feel Love,1/1/1977
The Supremes,55,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/5uM9zdUz8PpYJME9wZCM4W,Love,Baby Love,1/1/1964
The Supremes,49,1/1/1970 12:00:00 AM,1,,Love,Stoned Love,1/1/1970
The Supremes,53,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/046ZhBbIMSnG3UXHXJD1cy,Love,You Can’t Hurry Love,1/1/1966
The Teenagers featuring Frankie Lymon,63,1/1/1950 12:00:00 AM,1,http://open.spotify.com/track/2xKfXRhw5xaUXfevJJspZf,Love,Why Do Fools Fall in Love?,1/1/1956
The Temptations,55,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/0651FOAfvX33QIjpYL4F95,Love,My Girl,1/1/1964
Them,55,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/4VS4B6BjBK6liTPCf8O4aJ,Love,Gloria,1/1/1964
Them/Van Morrison,54,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/7knFQrGf88XnKjgyGrB70p,Love,Here Comes the Night,1/1/1965
Ike and Tina Turner,53,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/4psjgB5e5HIuUeSVbEUY64,Love,"River Deep, Mountain High",1/1/1966
Twinkle,55,1/1/1960 12:00:00 AM,1,,Love,Terry,1/1/1964
Dinah Washington,67,1/1/1950 12:00:00 AM,1,http://open.spotify.com/track/3q393Yh4k0cu2wlTgyiW4v,Love,Mad About the Boy,1/1/1952
Jimmy Webb,51,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/4LKUWvk6kQDJSTkxP6TUYN,Love,Wichita Linesman,1/1/1968
Paul Weller,24,1/1/1990 12:00:00 AM,1,http://open.spotify.com/track/0qWQxgHDjlE1kcLP0SHkRK,Love,You Do Something to Me,1/1/1995
Andy Williams,52,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/5khJtAAIdaXwr3ZsQvvVv4,Love,Music to Watch Girls By,1/1/1967
Frank Wilson,53,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/6QtbZ4rI3fJRufeNyi19Nd,Love,Do I Love You (Indeed I Do),1/1/1966
Bill Withers,47,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/4IXTOcB1eMoE7dkBs6oRHr,Love,Lean on Me,1/1/1972
Neil Young,42,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/1756tFft3p2hTUBzg9bKdQ,Love,Like a Hurricane,1/1/1977
Neil Young,49,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/3nQBejgpXbSdWpJsXKYWye,Love,Only Love Can Break Your Heart,1/1/1970
ABC,38,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/1DsmvwImEiDU0tLMOvOJZD,Heartbreak,Tears Are Not Enough,1/1/1981
Abba,39,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/1g1RLXmuXu7HpMA6gmiYve,Heartbreak,The Winner Takes It All,1/1/1980
Ryan Adams,19,1/1/2000 12:00:00 AM,1,,Heartbreak,Call Me on Your Way Back Home,1/1/2000
All Saints,22,1/1/1990 12:00:00 AM,1,http://open.spotify.com/track/7ziHnshbknkpFLDW5yGBjO,Heartbreak,Never Ever,1/1/1997
Bill Allen and the Backbeats,61,1/1/1950 12:00:00 AM,1,http://open.spotify.com/track/66auDFwg9lKmIYGQzEwHn5,Heartbreak,Please Give Me Something,1/1/1958
Badfinger,49,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/5GFV9C9D7EztSc0bMzF9ss,Heartbreak,Without You,1/1/1970
Joan Baez,44,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/5lZ4Dm9BBGcCBVbfzxnyCX,Heartbreak,Diamonds and Rust,1/1/1975
The Beatles,54,1/1/1960 12:00:00 AM,1,,Heartbreak,You’ve Got to Hide Your Love Away,1/1/1965
Belle and Sebastian,23,1/1/1990 12:00:00 AM,1,http://open.spotify.com/track/4lNs7YerSrW3dxxWHDRSIs,Heartbreak,The Boy Done Wrong Again,1/1/1996
Blondie,41,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/0a4agFmqHXxcZl1nho1BxM,Heartbreak,Heart of Glass,1/1/1978
Blondie,40,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/5Q7cE6wGHMehLFo2ppkk5D,Heartbreak,One Way Or Another,1/1/1979
Bon Iver,11,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/6WlS5FP9XcB410zta3C67v,Heartbreak,Flume,1/1/2008
Bonnie ‘Prince’ Billy and Matt Sweeney,14,1/1/2000 12:00:00 AM,1,,Heartbreak,Bed is For Sleeping,1/1/2005
David Bowie,50,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/13YcDQxaOktczzQBliAISJ,Heartbreak,Letter to Hermione,1/1/1969
David Bowie,40,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/6Q4S1KWuAg082DHm6BsazJ,Heartbreak,Repetition,1/1/1979
Toni Braxton,19,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/2uHlwcSyNpekOl9EybwVaU,Heartbreak,He Wasn’t Man Enough,1/1/2000
Bright Eyes,14,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/5bGoxCHvVavcFeQnI6NvUz,Heartbreak,Lua,1/1/2005
Buzzcocks,41,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/4JXtIl8MKQT9Q7XkVvWV2I,Heartbreak,Ever Fallen in Love (With Someone You Shouldn’t’ve),1/1/1978
Johnny Cash,60,1/1/1950 12:00:00 AM,1,http://open.spotify.com/track/17ULcItopPiilP1gIPrJvR,Heartbreak,I Still Miss Someone,1/1/1959
Nick Cave,22,1/1/1990 12:00:00 AM,1,http://open.spotify.com/track/6CjDPROOVDYN4v1JuidAJE,Heartbreak,Far From Me,1/1/1997
Vic Chesnutt,28,1/1/1990 12:00:00 AM,1,,Heartbreak,Where Were You,1/1/1991
Kelly Clarkson,15,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/07r3phrnaEUfoaauHHQXj6,Heartbreak,Since U Been Gone,1/1/2004
The Clash,37,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/0uwXVXNfzPJtpv3iCBAgDD,Heartbreak,Should I Stay Or Should I Go,1/1/1982
Patsy Cline,58,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/32EaJ4sUH4GrGfXulPltIi,Heartbreak,Crazy,1/1/1961
Leonard Cohen,52,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/75uA4upcHXXxVfaY9eYdSK,Heartbreak,"So Long, Marianne",1/1/1967
Coldplay,17,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,Heartbreak,The Scientist,1/1/2002
Phil Collins,35,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/5b6vClAj7N7VFLXEso3hEY,Heartbreak,Against All Odds (Take a Look at Me Now),1/1/1984
The Communards,33,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/6G27JoyRv8Ly085NkPIRWB,Heartbreak,Don’t Leave Me This Way,1/1/1986
Elvis Costello,15,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/1TDyLMqyVcFnN4Gwb2Lk25,Heartbreak,Either Side of the Same Town,1/1/2004
Elvis Costello and the Attractions,33,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/0lJeIRRrwRmnkRWpjai96c,Heartbreak,I Hope You’re Happy Now,1/1/1986
Elvis Costello and the Attractions,33,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/4LBnvKaSC9RqnFYA0LDIGt,Heartbreak,I Want You,1/1/1986
The Crystals,57,1/1/1960 12:00:00 AM,1,,Heartbreak,He Hit Me (And it Felt Like a Kiss),1/1/1962
The Cure,30,1/1/1980 12:00:00 AM,1,http://open.spotify.com/track/65QOLZaDsPoJp6nDi7Ln4l,Heartbreak,Disintegration,1/1/1989
Karen Dalton,48,1/1/1970 12:00:00 AM,1,,Heartbreak,Katie Cruel,1/1/1971
Derek and the Dominos,49,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/1KDsONFxp3YtnJTaLeWFIi,Heartbreak,Layla,1/1/1970
Duffy,11,1/1/2000 12:00:00 AM,1,http://open.spotify.com/track/5Og47k4AHrotP2QP36p5iO,Heartbreak,Warwick Avenue,1/1/2008
Bob Dylan,56,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/0K9nDgwZnLpg8FFG732fcU,Heartbreak,"Don’t Think Twice, It’s All Right",1/1/1963
Bob Dylan,44,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/6M4ch4i9qn5uWVrEeMGn9i,Heartbreak,Idiot Wind,1/1/1975
Bob Dylan,44,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/16M0VBfpUnVkUfKknW1gar,Heartbreak,"If You See Her, Say Hello",1/1/1975
Bob Dylan,53,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/6M5KL0LxCvXGr3j2mN4wE1,Heartbreak,Just Like a Woman,1/1/1966
Bob Dylan,53,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/0TUtCqkeaNlR71xerbm6Xo,Heartbreak,She’s Your Lover Now,1/1/1966
Bob Dylan,44,1/1/1970 12:00:00 AM,1,http://open.spotify.com/track/3fSmfeHzyp33FHpVKqavaw,Heartbreak,Tangled up in Blue,1/1/1975
Snooks Eaglin,57,1/1/1960 12:00:00 AM,1,http://open.spotify.com/track/2wiwvZFyUOsqGZYlh0tffe,Heartbreak,Brown Skin Woman,1/1/1962
Steve Earle,23,1/1/1990 12:00:00 AM,1,,Heartbreak,Goodbye,1/1/1996
